FirstName,LastName,Country,Team,Since
Lionel ,Messi,Argentina,FC Barcelona,6/24/1987
Cristiano ,Ronaldo,Portugal,Juventus,2/5/1985
Neymar,Jr,Brazil,PSG,2/5/1992
Robert ,Lewandowski,Polish ,Bayern Munich,8/21/1988
Kylian ,Mbappe,France,PSG,12/20/1998
Kevin ,De Bruyne,Belgium,Manchester City,6/28/1991
